pclass,survived,name,sex,age,sibsp,parch,fare,embarked,age_name
3,1,"Dean, Miss. Elizabeth Gladys ""Millvina""",0,9.694949696969697,1,2,0.04015972542654215,0.0,age0
3,0,"Danbom, Master. Gilbert Sigvard Emanuel",1,9.694949696969697,0,2,0.028106928123558056,0.0,age0
3,1,"Thomas, Master. Assad Alexander",1,9.694949696969697,0,1,0.016623491302076868,1.0,age0
2,1,"Hamalainen, Master. Viljo",1,9.694949696969697,1,1,0.028302115124416098,0.0,age0
3,0,"Peacock, Master. Alfred Edward",1,9.694949696969697,1,1,0.026887009368195294,0.0,age0
3,1,"Baclini, Miss. Eugenie",0,9.694949696969697,2,1,0.03758969818624431,1.0,age0
3,1,"Baclini, Miss. Helene Barbara",0,9.694949696969697,2,1,0.03758969818624431,1.0,age0
2,1,"Caldwell, Master. Alden Gates",1,9.694949696969697,0,2,0.056604230248832196,0.0,age0
3,1,"Aks, Master. Philip Frank",1,9.694949696969697,0,1,0.01824998458022693,0.0,age0
2,1,"Richards, Master. George Sibley",1,9.694949696969697,1,1,0.03659756266088288,0.0,age0
2,1,"West, Miss. Barbara J",0,9.694949696969697,1,2,0.05416439273810667,0.0,age0
1,1,"Allison, Master. Hudson Trevor",1,9.694949696969697,1,2,0.29580589980036276,0.0,age0
2,1,"Mallet, Master. Andre",1,9.694949696969697,0,2,0.07222738817151159,1.0,age0
2,1,"Laroche, Miss. Louise",0,9.694949696969697,1,2,0.08115719346076702,1.0,age0
3,0,"Klasen, Miss. Gertrud Emilia",0,9.694949696969697,1,1,0.023780217875537836,0.0,age0
3,0,"Goodwin, Master. Sidney Leonard",1,9.694949696969697,5,2,0.09154270340242172,0.0,age0
2,1,"Becker, Master. Richard F",1,9.694949696969697,2,1,0.0761229303346364,0.0,age0
3,1,"Nakid, Miss. Maria (""Mary"")",0,9.694949696969697,0,2,0.030725752114070404,1.0,age0
3,1,"Sandstrom, Miss. Beatrice Irene",0,9.694949696969697,1,1,0.03259622914329302,0.0,age0
3,0,"Panula, Master. Eino Viljami",1,9.694949696969697,4,1,0.07746484096553544,0.0,age0
3,1,"Dean, Master. Bertram Vere",1,9.694949696969697,1,2,0.04015972542654215,0.0,age0
3,1,"Johnson, Miss. Eleanor Ileen",0,9.694949696969697,1,1,0.021730754366528396,0.0,age0
3,0,"Palsson, Master. Gosta Leonard",1,9.694949696969697,3,1,0.04113566043083236,0.0,age0
3,0,"Skoog, Miss. Margit Elizabeth",0,9.694949696969697,3,2,0.05445717323939373,0.0,age0
2,1,"Quick, Miss. Phyllis May",0,9.694949696969697,1,1,0.050748620223090936,0.0,age0
2,1,"Wells, Master. Ralph Lester",1,9.694949696969697,1,1,0.04489301019734967,0.0,age0
3,0,"Strom, Miss. Telma Matilda",0,9.694949696969697,0,1,0.02042143996477265,0.0,age0
2,1,"Navratil, Master. Edmond Roger",1,9.694949696969697,1,1,0.050748620223090936,0.0,age0
3,0,"Rice, Master. Eugene",1,9.694949696969697,4,1,0.056848213999904744,2.0,age0
3,0,"Panula, Master. Urho Abraham",1,9.694949696969697,4,1,0.07746484096553544,0.0,age0
3,0,"Rosblom, Miss. Salli Helena",0,9.694949696969697,1,1,0.039452172548431745,0.0,age0
